============================================================================================
ANSOFT                                                                              01/11/21
ParametricSetup3 Result                                                             10:54:11

--------------------------------------------------------------------------------------------
Variation   $X_displacement   $Y_displacement   Lpt_new: Freq(150kHz): None   L_st: Freq(150kHz): None   k_new: Freq(150kHz): None   Mpt_st: Freq(150kHz): None
        1              45mm               0mm            2822.70694550565nH               1000000000nH        4.04256335413707e-05           67.9187572450925nH
        2              45mm              50mm            2796.38980322975nH               1000000000nH        1.83448681258991e-05           30.6770397484042nH
        3               0mm               0mm            2813.34698227967nH               1000000000nH          3.422513812612e-05           57.4059434687136nH
        4               0mm              50mm            2790.48067904308nH               1000000000nH        1.56248514639509e-05            26.100895470761nH
        5              45mm               3mm            2820.68809803386nH         128.287584353051nH           0.112460663405514           67.6504185393798nH
        6              45mm               6mm            2824.81557932337nH          128.46691894847nH           0.111686471699573           67.2808199285783nH
        7              45mm               9mm            2821.61646058773nH         128.419618352563nH           0.110163084299018           66.3133188727035nH
        8              45mm              12mm            2821.49292181105nH         128.617010446933nH            0.10839637379501           65.2985356016964nH
        9              45mm              15mm            2818.02173854148nH         128.381417302595nH           0.105833314231285           63.6569239913053nH
       10              45mm              18mm             2811.8451481017nH         128.085113147291nH           0.102603525612164           61.5754099761474nH
       11              45mm              21mm            2818.56494057302nH         128.662178167218nH          0.0994615013181008           59.8955397450448nH
       12              45mm              24mm            2814.36020975885nH         128.551603183179nH           0.095391626401261           57.3771328991293nH
       13              45mm              27mm             2813.2735184773nH         128.650545895212nH          0.0909774716816496           54.7325470580736nH
       14              45mm              30mm            2809.82259026509nH         128.704336820433nH          0.0863554396939601           51.9308869630013nH
       15              45mm              33mm            2803.77922617843nH         128.361719052883nH          0.0811720379023795           48.6963173062778nH
       16              45mm              36mm            2807.16169312488nH         128.669207263607nH          0.0761693959711228           45.7774438554606nH
       17              45mm              39mm            2801.70166966261nH         128.422858980778nH          0.0705977681040838            42.347042313877nH
       18              45mm              42mm            2796.98060214604nH         128.477845383298nH          0.0652240724748429            39.099100066274nH
       19              45mm              45mm            2797.54448851288nH         128.399019867986nH          0.0598390934409282           35.8636395114316nH
       20              45mm              48mm            2797.25480925052nH         128.529076825135nH          0.0545183642243946           32.6895939007881nH
       21              42mm               0mm            2822.42111929727nH         128.129896589609nH           0.110474225282778           66.4350259662968nH
       22              42mm               3mm            2818.22779925113nH         127.823918312169nH           0.110031955287708           66.0408935749932nH
       23              42mm               6mm            2819.82743004683nH         128.085069509819nH           0.109298354796316           65.6862009205428nH
       24              42mm               9mm            2815.98404867321nH          127.89385546401nH           0.107863304366846           64.7311996406847nH
       25              42mm              12mm            2821.73749272884nH         128.366978701503nH            0.10618998166968           63.9099547402084nH
       26              42mm              15mm            2813.68370319396nH         127.792101565464nH           0.103484343410801           62.0532156892255nH
       27              42mm              18mm            2813.87995105232nH         127.898274171901nH           0.100556171832647           60.3245173872992nH
       28              42mm              21mm            2814.57662166867nH         128.103484138813nH          0.0972199921019553           58.3771098964688nH
       29              42mm              24mm            2812.11324764574nH         128.210822826324nH          0.0933258425479988           56.0377470210974nH
       30              42mm              27mm            2806.09165621854nH         127.849236202361nH          0.0890144876579413           53.3163845407728nH
       31              42mm              30mm            2808.11914642898nH         128.111546661193nH          0.0843923849998214           50.6180211673235nH
       32              42mm              33mm            2803.04406506247nH          127.88562234304nH          0.0794061995049758           47.5423049879773nH
       33              42mm              36mm            2806.14262551763nH         128.424300633654nH           0.074559250049721           44.7589619798978nH
       34              42mm              39mm            2801.54131439885nH         128.085721650548nH          0.0691340173519333           41.4133792719167nH
       35              42mm              42mm            2797.89426613828nH         127.871545684588nH          0.0638503768928199           38.1914433451225nH
       36              42mm              45mm            2787.95301905017nH         127.577070004128nH          0.0585542459848866           34.9210609912294nH
       37              42mm              48mm            2795.70465575806nH         128.300006133023nH          0.0536905920618882           32.1556413804592nH
       38              42mm              50mm            2782.47176819933nH         127.190290199262nH          0.0498154441730645           29.6350981120755nH
       39              39mm               0mm            2814.51611183636nH         127.447164785867nH           0.108258556370337           64.8379373274872nH
       40              39mm               3mm            2814.60390633748nH         127.433692416011nH           0.107978916453987           64.6680464619289nH
       41              39mm               6mm            2817.61146858801nH         127.461500659061nH           0.107066357108624            64.162768263754nH
       42              39mm               9mm            2821.97513320458nH         127.887650589083nH           0.105792929845914           63.5546806034459nH
       43              39mm              12mm            2819.06467706898nH         127.898380482719nH           0.104086388169452           62.4998508885892nH
       44              39mm              15mm             2815.9340851377nH         127.759856454733nH           0.101555508849311           60.9132731126028nH
       45              39mm              18mm            2813.99316122814nH         127.657528567828nH          0.0986950747837031           59.1534685803327nH
       46              39mm              21mm            2813.94139995728nH         127.927246924619nH          0.0954994522870333           57.2980618896859nH
       47              39mm              24mm            2813.24595464806nH         127.756517553725nH          0.0915055786428625           54.8583771251006nH
       48              39mm              27mm            2800.63066341857nH         127.237549787351nH          0.0870859816026076           51.9856908534689nH
       49              39mm              30mm            2805.09203262629nH         127.572996450477nH          0.0826278445597033           49.4287194540725nH
       50              39mm              33mm             2807.4109662913nH         127.954306209561nH           0.078007164970361           46.7535878132331nH
       51              39mm              36mm            2801.69562773814nH          127.75990091759nH          0.0730360087068949           43.6963127361972nH
       52              39mm              39mm            2802.88090877452nH         127.825908737594nH          0.0678616698148403           40.6196623423218nH
       53              39mm              42mm            2800.41239794838nH         127.947388850249nH          0.0626485200720993           37.5005403605287nH
